trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-45.85944826821412,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.894938748929031}",25,1,-114.439931132741,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 2}",1
112,False,"{'a': 0.5, 'e': 0.8940442575003572}",25,0,-97.11869917732784,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.8931506601160155}",35,4,-146.35777769056418,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 2}",1
114,False,"{'a': 0.5, 'e': 0.8922579558824083}",30,0,-98.59841030772624,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.8913661439068313}",35,0,-99.53769956484285,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.8904752232974726}",20,0,-79.9648087118132,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.8895851931634113}",20,0,-50.81578820418559,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.8886960526146174}",30,5,-54.211671534991595,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.8878078007619501}",20,0,-81.3062705365758,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-249.82197486020647,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 5}",0
121,False,"{'a': 0.5, 'e': 0.8860339595928756}",25,0,-215.45491390791028,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",0
122,False,"{'a': 0.5, 'e': 0.8851483685026271}",30,0,-150.1863255573008,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
